State,County,Number of Unauthorized Immigrants,County Share of the Total Unauthorized Immigrant Population
California,"Los Angeles County, CA",951000,0.08606079
Texas,"Harris County, TX",481000,0.043536841
Texas,"Dallas County, TX",293000,0.026501918
Illinois,"Cook County, IL",257000,0.023267147
California,"Orange County, CA",236000,0.021405338
New York,"Queens County, NY",235000,0.021303291
Arizona,"Maricopa County, AZ",200000,0.018121589
Florida,"Miami Dade-Monroe Counties, FL",198000,0.017913383
Massachusetts,"Boston-Cambridge-Quincy,++ MA Metropolitan NECTA",173000,0.015634883
California,"San Diego County, CA",169000,0.015301249
New York,"Kings County, NY",154000,0.013924524
Nevada,"Clark County, NV",141000,0.012798901
California,"Santa Clara County, CA",134000,0.012126311
California,"Riverside County, CA",132000,0.011984385
California,"San Bernardino County, CA",127000,0.011477605
Florida,"Broward County, FL",117000,0.010615038
New York,"Bronx County, NY",115000,0.010405687
Texas,"Tarrant County, TX",114000,0.010281729
California,"Alameda County, CA",107000,0.009657565
Texas,"Hidalgo County, TX",100000,0.009056276
Washington,"King County, WA",93000,0.008408665
Florida,"Palm Beach County, FL",82000,0.007402915
New York,"New York County, NY",81000,0.007362326
Texas,"Travis County, TX",81000,0.007342592
Texas,"Bexar County, TX",80000,0.007225368
Colorado,"Suburban Denver Counties,+ CO",79000,0.007114166
California,"Fresno County, CA",77000,0.006955915
Georgia,"Gwinnett County, GA",77000,0.006933756
Maryland,"Prince George's County, MD",76000,0.00686423
Virginia,"Fairfax County-Fairfax City-Falls Church City, VA",76000,0.006846871
New Jersey,"Hudson County, NJ",75000,0.006790208
Maryland,"Montgomery County, MD",75000,0.006757255
California,"Kern County, CA",69000,0.006236116
Florida,"Orange County, FL",67000,0.006080246
California,"Monterey-San Benito Counties, CA",67000,0.006073641
California,"Sacramento County, CA",63000,0.005736084
California,"Contra Costa County, CA",63000,0.005689119
Connecticut,"Fairfield County, CT",61000,0.005555109
California,"Ventura County, CA",60000,0.005425227
North Carolina,"Mecklenburg County, NC",58000,0.005212504
California,"San Mateo County, CA",55000,0.005009119
California,"San Joaquin County, CA",54000,0.004881247
New York,"Westchester County, NY",54000,0.004867548
New Jersey,"Essex County, NJ",52000,0.004732495
Texas,"El Paso County, TX",52000,0.004699295
New Jersey,"Middlesex County, NJ",52000,0.00467636
New York,"Nassau County, NY",50000,0.004560448
Utah,"Salt Lake County, UT",50000,0.004519219
New York,"Suffolk County, NY",50000,0.0044938
Florida,"Hillsborough County, FL",49000,0.004409912
Texas,"Collin County, TX",48000,0.004359945
Pennsylvania,"Philadelphia County, PA",47000,0.004263875
New Jersey,"Union County, NJ",47000,0.004253197
California,"Santa Barbara County, CA",44000,0.003984821
New Jersey,"Bergen County, NJ",44000,0.003943604
California,"San Francisco County, CA",43000,0.003933925
North Carolina,"Wake County, NC",41000,0.003717291
California,"Tulare County, CA",39000,0.003551701
Georgia,"Cobb County, GA",39000,0.003537532
Texas,"Fort Bend County, TX",39000,0.003502111
New Jersey,"Passaic County, NJ",37000,0.003334661
Virginia,"Prince William County-Manassas City-Manassas Park City, VA",36000,0.003267144
Georgia,"DeKalb County, GA",36000,0.003252996
Colorado,"Denver County, CO",36000,0.003237478
Texas,"Cameron County, TX",36000,0.003221887
Hawaii,"Honolulu County, HI",35000,0.003212681
Illinois,"Lake County, IL",35000,0.003165149
Indiana,"Marion County, IN",34000,0.003088948
Oklahoma,"Oklahoma County, OK",34000,0.003078125
Minnesota,"Hennepin County, MN",34000,0.003046174
Tennessee,"Davidson County, TN",33000,0.003014408
Arizona,"Pima County, AZ",33000,0.003005006
Texas,"Denton County, TX",32000,0.002912228
Georgia,"Fulton County, GA",32000,0.002853432
Illinois,"DuPage County, IL",32000,0.002853004
Texas,"Webb County, TX",31000,0.002807936
Illinois,"Kane County, IL",31000,0.002796422
Louisiana,"Orleans-Jefferson-Plaquemines-St. Bernard Parishes, LA",31000,0.002772805
Ohio,"Franklin County, OH",29000,0.002652935
California,"Stanislaus County, CA",29000,0.002623446
Florida,"Lee County, FL",28000,0.002562701
Texas,"Montgomery-Chambers-Liberty Counties, TX",28000,0.002509282
California,"Sonoma County, CA",27000,0.002479926
Florida,"Collier County, FL",27000,0.002464432
California,"Merced County, CA",27000,0.002422958
Tennessee,"Shelby County, TN",26000,0.002335932
Oregon,"Multnomah County, OR",25000,0.002258706
Washington,"Snohomish County, WA",25000,0.002249826
Oregon,"Washington County, OR",24000,0.002209638
New Jersey,"Mercer County, NJ",24000,0.002190776
Washington,"Yakima County, WA",24000,0.002160084
Oklahoma,"Tulsa County, OK",24000,0.00214334
Wisconsin,"Milwaukee County, WI",23000,0.002124946
Connecticut,"New Haven County, CT",22000,0.00200603
New Mexico,"Bernalillo-Valencia Counties, NM",21000,0.001930342
Rhode Island,"Providence County, RI",21000,0.001890468
Washington,"Benton-Franklin-Walla Walla Counties, WA",21000,0.001863037
North Carolina,"Durham County, NC",20000,0.00180027
Maryland,"Baltimore County, MD",20000,0.001799063
Michigan,"Wayne County, MI",20000,0.001788599
Florida,"Duval County, FL",20000,0.001783479
Nebraska,"Douglas County, NE",20000,0.001778352
California,"Solano County, CA",20000,0.00177468
Washington,"Pierce County, WA",19000,0.001754422
Florida,"Osceola County, FL",19000,0.001740454
Nevada,"Washoe County, NV",19000,0.001734368
Virginia,"Loudoun County, VA",19000,0.001734112
Illinois,"Will County, IL",19000,0.001689796
South Carolina,"Greenville-Laurens Counties, SC",18000,0.001608898
Georgia,"Hall County, GA",18000,0.001599079
Connecticut,"Hartford County, CT",18000,0.001597519
Michigan,"Oakland County, MI",18000,0.001594438
New Jersey,"Monmouth County, NJ",17000,0.00158125
Florida,"Pinellas County, FL",17000,0.001540953
Oregon,"Marion County, OR",17000,0.00153471
New Jersey,"Morris County, NJ",17000,0.001529741
Michigan,"Kent County, MI",17000,0.001508869
California,"Santa Cruz County, CA",16000,0.001491957
Utah,"Utah County, UT",16000,0.001480147
South Carolina,"Charleston-Berkeley-Dorchester Counties, SC",16000,0.001444147
Florida,"Polk County, FL",16000,0.001425799
New York,"Richmond County, NY",15000,0.001398365
Texas,"Williamson County, TX",15000,0.00135824
California,"Madera County, CA",15000,0.00133303
Delaware,"New Castle County, DE",15000,0.001324268
North Carolina,"Guilford County, NC",15000,0.001314941
New York,"Rockland County, NY",14000,0.001305177
Kansas,"Johnson County, KS",14000,0.001300956
New Jersey,"Somerset County, NJ",14000,0.001289583
Florida,"Manatee County, FL",14000,0.001281714
Kansas,"Wyandotte County, KS",14000,0.00127485
Pennsylvania,"Montgomery County, PA",14000,0.001274032
Kansas,"Sedgwick-Butler-Harvey Counties, KS",14000,0.001271017
California,"Imperial County, CA",14000,0.001270631
Virginia,"Alexandria City, VA",14000,0.001229981
California,"Marin County, CA",13000,0.001215181
Texas,"Jefferson County, TX",13000,0.001213528
Massachusetts,"Worcester,++ MA Metropolitan NECTA",13000,0.001170114
Georgia,"Clayton County, GA",13000,0.001168482
North Carolina,"Forsyth County, NC",13000,0.001159563
Maryland,"Baltimore City, MD",13000,0.001154756
Arizona,"Yuma County, AZ",13000,0.001151078
Idaho,"Ada-Canyon-Gem-Owyhee-Payette-Washington Counties, ID",13000,0.001137249
Arkansas,"Washington County, AR",13000,0.001137225
Texas,"Galveston County, TX",13000,0.001131589
New Jersey,"Camden County, NJ",12000,0.001117244
California,"Yolo County, CA",12000,0.001111982
Virginia,"Arlington County, VA",12000,0.001107842
Kentucky,"Jefferson County, KY",12000,0.001101554
California,"Kings County, CA",12000,0.001088598
Pennsylvania,"Chester County, PA",12000,0.001080022
Texas,"Brazoria County, TX",12000,0.001063273
New Mexico,"Dona Ana County, NM",12000,0.00106098
Minnesota,"Ramsey County, MN",12000,0.001057301
Washington,"Clark County, WA",12000,0.0010547
Florida,"Seminole County, FL",11000,0.00104045
Wisconsin,"Dane County, WI",11000,0.001039246
Arkansas,"Benton County, AR",11000,0.001034161
Alabama,"Jefferson County, AL",11000,0.001030281
Pennsylvania,"Lehigh-Northampton-Carbon Counties, PA",11000,0.001030248
Missouri,"Jackson County, MO",11000,0.001017985
New Jersey,"Ocean County, NJ",11000,0.00099057
Georgia,"Forsyth County, GA",11000,0.000987109
Texas,"Nueces County, TX",11000,0.000976871
Alabama,"Madison-Marshall-Limestone Counties, AL",11000,0.000965767
Ohio,"Hamilton County, OH",11000,0.000957853
Maryland,"Anne Arundel County, MD",11000,0.000954711
Kentucky,"Fayette County, KY",10000,0.000947904
Missouri,"St. Louis County, MO",10000,0.000935554
Texas,"Brazos County, TX",10000,0.000924773
